iter	Passed	Remaining
466	735	839
467	737	838
468	739	837
469	748	844
470	749	841
471	750	839
472	751	837
473	752	835
474	753	833
475	755	831
476	758	831
477	759	829
478	761	827
479	762	825
480	763	823
481	764	821
482	765	818
483	766	816
484	767	814
485	768	812
486	769	810
487	770	808
488	772	806
489	773	804
490	774	802
491	775	800
492	776	798
493	778	797
494	779	794
495	780	792
496	783	792
497	784	790
498	785	788
499	787	787
500	788	785
501	789	783
502	790	781
503	791	779
504	792	776
505	793	774
506	794	773
507	795	770
508	796	768
509	797	766
510	799	765
511	807	769
512	808	767
513	810	766
514	811	764
515	813	762
516	815	761
517	816	759
518	817	757
519	818	755
520	819	753
521	820	751
522	822	750
523	823	748
524	824	745
525	825	743
526	826	742
527	828	741
528	830	739
529	831	737
530	832	735
531	833	733
532	836	732
533	837	730
534	838	728
535	839	726
536	840	724
537	842	723
538	843	721
539	844	719
540	846	718
541	847	716
542	848	714
543	849	712
544	850	710
545	851	708
546	852	706
547	853	704
548	860	706
549	862	705
550	863	703
551	864	701
552	865	699
553	866	697
554	867	695
555	868	693
556	870	691
557	872	690
558	873	689
559	875	687
560	876	685
561	877	683
562	878	681
563	879	679
564	880	677
565	881	676
566	883	674
567	885	673
568	887	671
569	891	672
570	892	670
571	893	668
572	894	666
573	895	664
574	897	663
575	898	661
576	899	659
577	900	657
578	902	655
579	903	653
580	904	652
581	905	650
582	906	648
583	907	646
584	908	644
585	909	642
586	910	640
587	912	639
588	914	638
589	919	638
590	920	637
591	921	635
592	922	633
593	923	631
594	925	629
595	927	628
596	929	627
597	930	625
598	931	623
599	932	621
600	933	619
601	934	617
602	934	615
603	935	613
604	936	611
605	937	609
606	938	607
607	939	605
608	941	604
609	943	603
610	945	601
611	946	599
612	947	598
613	948	596
614	949	594
615	950	592
616	950	590
617	951	588
618	953	586
619	954	584
620	955	583
621	957	581
622	958	580
623	959	578
624	960	576
625	961	574
626	962	572
627	962	570
628	963	568
629	964	566
630	965	564
631	966	562
632	967	560
633	969	559
634	973	559
635	976	558
636	977	556
637	978	554
638	978	553
639	979	551
640	982	550
641	983	548
642	985	546
643	986	545
644	986	543
645	987	541
646	988	539
647	989	537
648	990	535
649	991	533
650	992	531
651	993	530
652	994	528
653	995	526
654	1000	526
655	1001	525
656	1002	523
657	1003	521
658	1004	519
659	1005	517
660	1006	516
661	1007	514
662	1008	512
663	1009	510
664	1010	509
665	1012	507
666	1012	505
667	1013	503
668	1014	502
669	1015	500
670	1016	498
671	1017	496
672	1018	494
673	1019	492
674	1019	491
675	1020	489
676	1032	492
677	1035	491
678	1036	489
679	1037	488
680	1039	487
681	1040	485
682	1042	483
683	1043	482
684	1044	480
685	1045	478
686	1046	476
687	1047	474
688	1048	473
689	1048	471
690	1049	469
691	1051	467
692	1053	466
693	1055	465
694	1057	463
695	1058	462
696	1059	460
697	1060	458
698	1060	456
699	1061	455
700	1062	453
701	1063	451
702	1066	450
703	1067	449
704	1068	447
705	1069	445
706	1071	443
707	1072	442
708	1073	440
709	1073	438
710	1074	436
711	1075	435
712	1076	433
713	1077	431
714	1078	429
715	1079	428
716	1081	427
717	1083	425
718	1088	425
719	1089	423
720	1090	421
721	1091	420
722	1092	418
723	1092	416
724	1096	415
725	1097	414
726	1098	412
727	1099	410
728	1100	409
729	1101	407
730	1101	405
731	1102	403
732	1103	402
733	1104	400
734	1105	398
735	1106	396
736	1107	395
737	1109	394
738	1111	392
739	1112	390
740	1115	389
741	1116	388
742	1116	386
743	1117	384
744	1118	382
745	1119	381
746	1120	379
747	1122	378
748	1124	376
749	1125	375
750	1126	373
751	1127	371
752	1127	370
753	1128	368
754	1129	366
755	1130	365
756	1131	363
757	1132	361
758	1134	360
759	1136	358
760	1139	358
761	1141	356
762	1144	355
763	1145	353
764	1146	352
765	1147	350
766	1150	349
767	1151	347
768	1152	346
769	1153	344
770	1153	342
771	1154	341
772	1155	339
773	1156	337
774	1157	336
775	1158	334
776	1159	332
777	1160	331
778	1160	329
779	1161	327
780	1164	326
781	1165	324
782	1166	323
783	1167	321
784	1168	320
785	1169	318
786	1170	316
787	1171	315
788	1172	313
789	1173	311
790	1173	310
791	1174	308
792	1175	306
793	1176	305
794	1178	303
795	1179	302
796	1180	300
797	1181	299
798	1182	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1187	289
804	1187	287
805	1188	286
806	1189	284
807	1190	282
808	1197	282
809	1198	281
810	1211	282
811	1212	280
812	1213	279
813	1214	277
814	1214	275
815	1215	274
816	1216	272
817	1217	270
818	1218	269
819	1218	267
820	1219	265
821	1220	264
822	1225	263
823	1227	262
824	1228	260
825	1230	259
826	1231	257
827	1232	255
828	1233	254
829	1234	252
830	1235	251
831	1236	249
832	1238	248
833	1239	246
834	1240	245
835	1241	243
836	1242	241
837	1243	240
838	1244	238
839	1244	237
840	1245	235
841	1246	233
842	1247	232
843	1248	230
844	1258	230
845	1259	229
846	1260	227
847	1261	226
848	1262	224
849	1263	222
850	1263	221
851	1264	219
852	1267	218
853	1268	216
854	1269	215
855	1270	213
856	1271	212
857	1272	210
858	1273	208
859	1274	207
860	1275	205
861	1276	204
862	1277	202
863	1277	201
864	1278	199
865	1279	198
866	1281	196
867	1282	195
868	1283	193
869	1285	192
870	1286	190
871	1286	188
872	1287	187
873	1288	185
874	1289	184
875	1290	182
876	1291	181
877	1292	179
878	1293	177
879	1294	176
880	1295	175
881	1296	173
882	1297	171
883	1298	170
884	1299	168
885	1300	167
886	1301	165
887	1302	164
888	1303	162
889	1304	161
890	1305	159
891	1306	158
892	1312	157
893	1314	155
894	1315	154
895	1316	152
896	1317	151
897	1317	149
898	1318	148
899	1319	146
900	1320	145
901	1322	143
902	1323	142
903	1324	140
904	1325	139
905	1326	137
906	1327	136
907	1328	134
908	1329	133
909	1331	131
910	1337	130
911	1338	129
912	1340	127
913	1340	126
914	1341	124
915	1342	123
916	1343	121
917	1344	120
918	1345	118
919	1348	117
920	1349	115
921	1350	114
922	1351	112
923	1352	111
924	1353	109
925	1354	108
926	1355	106
927	1356	105
928	1357	103
929	1358	102
930	1359	100
931	1365	99
932	1366	98
933	1368	96
934	1369	95
935	1370	93
936	1371	92
937	1371	90
938	1372	89
939	1373	87
940	1374	86
941	1375	84
942	1377	83
943	1378	81
944	1379	80
945	1380	78
946	1381	77
947	1382	75
948	1383	74
949	1384	72
950	1385	71
951	1385	69
952	1387	68
953	1387	66
954	1388	65
955	1390	63
956	1391	62
957	1392	61
958	1393	59
959	1394	58
960	1395	56
961	1396	55
962	1397	53
963	1398	52
964	1399	50
965	1400	49
966	1401	47
967	1402	46
968	1403	44
969	1405	43
970	1406	42
971	1407	40
972	1408	39
973	1409	37
974	1410	36
975	1411	34
976	1412	33
977	1413	31
978	1414	30
979	1415	28
980	1416	27
981	1425	26
982	1426	24
983	1427	23
984	1427	21
985	1428	20
986	1429	18
987	1430	17
988	1431	15
989	1432	14
990	1434	13
991	1435	11
992	1436	10
993	1437	8
994	1438	7
995	1439	5
996	1440	4
997	1440	2
998	1441	1
999	1442	0
